Timestamp,Tell us about your experience working with us [TSG makes a positive contribution to my work],Tell us about your experience working with us [TSG responds to my requests in a timely manner],Tell us about your experience working with us [TSG takes accountability for my requests],Tell us about your experience working with us [TSG staff are knowledgable ],Please rate your satisfaction with our services: [Account manager support],Please rate your satisfaction with our services: [Audio and Video Production Services],"Please rate your satisfaction with our services: [Business applications support (M-files, Salesforce, Enterprise, etc.)]",Please rate your satisfaction with our services: [Event services],Please rate your satisfaction with our services: [Project support],Please rate your satisfaction with our services: [Service Desk],Please rate your satisfaction with our services: [Studio services],Please rate your satisfaction with our services: [Vendor management services],Is there anything else you would like to share?,
1/13/2019 14:27:57,Mostly,Mostly,Always,Always,N/A do not use,Satisfied,N/A do not use,Satisfied,Satisfied,Satisfied,N/A do not use,N/A do not use,,Winter 2019
1/13/2019 16:28:14,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,,Winter 2019
1/14/2019 8:22:22,Always,Always,Mostly,Mostly,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,,Winter 2019
1/14/2019 11:18:55,Sometimes,Mostly,Always,Mostly,N/A do not use,Very Satisfied,Neutral,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,,Winter 2019
1/14/2019 14:34:06,Always,Always,Always,Mostly,N/A do not use,N/A do not use,,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,,Winter 2019
1/16/2019 9:06:18,Always,Always,Always,Always,,Very Satisfied,N/A do not use,N/A do not use,Very Satisfied,Very Satisfied,Very Satisfied,N/A do not use,Everybody in the TSG team is great!,Winter 2019
1/17/2019 7:40:00,Mostly,Mostly,Always,Mostly,Satisfied,N/A do not use,Dissatisfied,N/A do not use,Satisfied,Satisfied,N/A do not use,N/A do not use,"TSG staff are always courteous and pleasant to work with. Some are much more knowledgeable than others but there is always a desire to help and to find the solution even if one staff member can't find it themselves. While this may not be something TSG can control directly, we have had extreme challenges with Enterprise in the last several months. Issues are still unresolved and I understand the system itself is quite out dated. Please consider a new system that is more intuitive, easy to use, and with less bugs. Thank you for everything you do - we are so grateful you're all just a phone call away!",Winter 2019
1/22/2019 10:28:48,Always,Mostly,Mostly,Always,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,"Sometimes, there has been a disconnect between work completed by TSG and emails they send me asking to complete work (that has already been done). Otherwise, they are great!",Winter 2019
1/22/2019 13:38:43,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,Satisfied,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,,Winter 2019
1/22/2019 16:31:14,Always,Mostly,Always,Mostly,Very Satisfied,Satisfied,Satisfied,N/A do not use,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,,Winter 2019
1/24/2019 16:58:30,Sometimes,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,I came onboard with TMC in November 2018 and interacted with TSG several times during my initial week. Everyone I encountered was very responsive and helpful with my technical issues. Sean in particular was quite responsive and knowledgeable. ,Winter 2019
4/3/2019 14:20:39,Always,Always,Always,Always,N/A do not use,Very Satisfied,N/A do not use,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,N/A do not use,,Spring 2019
4/3/2019 14:22:24,Rarely,Never,Rarely,Sometimes,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,N/A do not use,Very Dissatisfied,Very Satisfied,N/A do not use,,Spring 2019
4/3/2019 14:25:33,Always,Mostly,Always,Always,N/A do not use,Very Satisfied,Very Satisfied,Very Satisfied,N/A do not use,Very Satisfied,Very Satisfied,N/A do not use,,Spring 2019
4/3/2019 14:30:24,Mostly,Mostly,Mostly,Always,Satisfied,Very Satisfied,Neutral,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Dissatisfied,"For Vendor management, I believe this is an area that we need to get better at for TMC Reading Room. It's been 3 months and we haven't been able to get the necessary changes done at QuickBooks and a month and haven't been able to reconnect the RR's Gift Card program. Everything is in the process, but thank goodness for the flexibility of our customers while we work out these issues.",Spring 2019
4/3/2019 15:13:52,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,,Spring 2019
4/3/2019 15:32:57,Always,Always,Always,Always,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,,Spring 2019
4/3/2019 15:51:57,Mostly,Always,Always,Mostly,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,,Spring 2019
4/3/2019 16:08:32,Sometimes,Mostly,Mostly,Sometimes,Neutral,N/A do not use,Neutral,N/A do not use,Neutral,Satisfied,N/A do not use,Very Satisfied,,Spring 2019
4/3/2019 16:11:07,Always,Always,Always,Always,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,Very Satisfied,Very Satisfied,Very Satisfied,,,Spring 2019
4/3/2019 16:22:53,Always,Mostly,Mostly,Mostly,Satisfied,N/A do not use,Satisfied,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,,Spring 2019
4/3/2019 16:27:59,Mostly,Mostly,Mostly,Mostly,N/A do not use,Satisfied,N/A do not use,N/A do not use,N/A do not use,Satisfied,Satisfied,N/A do not use,,Spring 2019
4/4/2019 8:18:50,Sometimes,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,,Spring 2019
4/4/2019 8:40:45,Always,Sometimes,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,,Spring 2019
4/4/2019 8:56:06,Always,Always,Always,Always,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,Spring 2019
4/4/2019 9:09:15,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,Very Satisfied,N/A do not use,N/A do not use,No further comment.,Spring 2019
4/4/2019 9:24:33,Mostly,Mostly,Mostly,Mostly,Satisfied,N/A do not use,Satisfied,N/A do not use,N/A do not use,Satisfied,N/A do not use,Satisfied,,Spring 2019
4/4/2019 11:29:20,Always,Always,Always,Always,N/A do not use,Very Satisfied,Satisfied,N/A do not use,Satisfied,Very Satisfied,Very Satisfied,N/A do not use,,Spring 2019
4/4/2019 11:43:10,Mostly,Always,Always,Always,N/A do not use,Satisfied,Neutral,Satisfied,N/A do not use,Very Satisfied,Satisfied,Satisfied,"I mainly use the Service Desk and am always grateful for their loving and prompt support! Sean has helped me many many many times and is always patient, kind, and effective! Lisa and Maurice have been a wonderful support as well. The one thing I have heard from other staff members in my department is that Enterprise is a pain point in their work. They feel Enterprise requires extra work and time (i.e. calling TSG) to enter it nearly every single time they need to access the program, and that the program is slow, inefficient, outdated, and hard to use.  I have not had to use this program, but it comes up regularly in department discussions. ",Spring 2019
4/4/2019 11:47:36,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,,Spring 2019
4/4/2019 12:05:29,Mostly,Sometimes,Sometimes,Always,,Very Satisfied,N/A do not use,Very Satisfied,Neutral,Very Satisfied,Very Satisfied,Neutral,"In most cases TSG is very responsive. 

1) Everyone at the help desk, Lisa, Maurice, Sean and Kami, have always followed through on getting things up and running as they are supposed to. Some of them have swung by on their lunch breaks to check in and be sure that an attempted fix has been successful. Dave Palefsky, Paul, and Vad always get the job done and usually with incredibly great humor. I rarely see Ben or John, but they gets things fixed, too.

In other cases certain TSG-related things have taken months or more to respond, or we've been told TSG doesn't have the bandwidth to do the job presently.

1) We are still hoping TSG can find some software that will allow us to lock down our public Mac so that visitors can reach all the CS websites, but not have access to anything else. We use parental controls but they have been too glitchy thus far. 

2) In the case of our joint project with OPA, to develop touch sales tablets, the original plan called for TSG to do the design (web design). We were told they don't have the bandwidth and it was given back to me (Jonathan) to do. 

3) Al Belote, a very great guy and helpful when we talk with him, has not had the bandwidth to help us update one of our touchscreen tablets, (The ""What is Christian Science"" one that's been in use for almost four years and is the only tablet that TSG is fully responsible for.) It took a full year to get any changes made to it. 

TSG does a great job. Sometimes it is clear they need another staffer.",Spring 2019
4/4/2019 12:34:52,Always,Always,Always,Always,Very Satisfied,Very Satisfied,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,,Spring 2019
4/4/2019 13:59:20,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,Usually very good on deadline when I need help.,Spring 2019
4/4/2019 16:34:43,Always,Always,Always,Always,N/A do not use,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,The service desk goes out of their way to be helpful.,Spring 2019
